Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Niger,NER,SSA,31,124,7,1.95,34.0,107.0,7.0,2.03,32.0,125.0,7.0,1.5,32.0,123.0,7.0,1.5,31.0,124.0,7.0,1.35,32.0,123.0,7.0,1.2,32.0,120.0,7.0,1.72,34.0,114.0,6.0,2.98,33.0,112.0,6.0,3.27,35.0,5.0,3.25,34.0,5.0,4.16,35.0,5.0,3.99,34.0,5.0,3.7,33.0,5.0,3.1
Nigeria,NGA,SSA,26,142,10,1.47,26.0,140.0,10.0,1.45,25.0,145.0,8.0,1.64,24.0,150.0,8.0,1.6,24.0,154.0,8.0,1.57,25.0,149.0,8.0,1.45,26.0,146.0,8.0,1.87,27.0,144.0,9.0,2.03,27.0,148.0,9.0,1.97,28.0,9.0,1.98,26.0,8.0,2.24,27.0,8.0,2.82,25.0,9.0,3.1,27.0,9.0,2.7
North Macedonia,MKD,ECA,40,84,7,2.42,40.0,88.0,7.0,2.73,42.0,76.0,6.0,2.88,40.0,85.0,7.0,1.95,39.0,87.0,7.0,1.66,35.0,111.0,7.0,2.44,35.0,106.0,7.0,3.56,37.0,93.0,7.0,3.38,35.0,107.0,6.0,4.49,37.0,7.0,4.97,42.0,6.0,5.27,45.0,6.0,5.92,44.0,6.0,5.0,43.0,6.0,4.7
Norway,NOR,WE/EU,81,4,8,1.62,81.0,5.0,8.0,1.65,84.0,4.0,7.0,1.38,84.0,4.0,7.0,1.17,85.0,4.0,7.0,1.07,84.0,7.0,7.0,1.26,84.0,7.0,7.0,1.65,84.0,7.0,8.0,2.14,85.0,3.0,8.0,1.83,85.0,7.0,1.85,88.0,7.0,2.24,86.0,7.0,2.38,86.0,7.0,2.3,85.0,7.0,1.6
Oman,OMN,MENA,52,54,7,5.54,55.0,50.0,6.0,6.49,43.0,70.0,5.0,5.32,44.0,69.0,5.0,4.95,52.0,56.0,6.0,7.12,54.0,49.0,6.0,7.47,52.0,56.0,6.0,9.78,52.0,53.0,6.0,9.46,44.0,68.0,5.0,7.0,45.0,5.0,7.07,45.0,5.0,6.69,45.0,5.0,6.55,47.0,5.0,7.8,47.0,5.0,7.6
Pakistan,PAK,AP,28,136,8,1.73,27.0,135.0,8.0,1.99,29.0,133.0,8.0,2.09,27.0,140.0,7.0,1.92,28.0,140.0,8.0,1.87,31.0,124.0,8.0,1.8,32.0,120.0,8.0,2.46,33.0,117.0,8.0,2.06,32.0,117.0,8.0,2.11,32.0,7.0,2.12,30.0,7.0,3.12,29.0,7.0,3.24,28.0,8.0,3.0,27.0,8.0,2.3
Panama,PAN,AME,33,116,7,1.52,33.0,114.0,7.0,1.44,35.0,108.0,7.0,1.17,36.0,101.0,7.0,1.08,36.0,105.0,7.0,1.02,35.0,111.0,7.0,0.77,36.0,101.0,7.0,1.37,37.0,93.0,7.0,1.76,37.0,96.0,7.0,1.79,38.0,6.0,2.29,39.0,6.0,3.01,37.0,6.0,3.49,35.0,6.0,2.2,38.0,6.0,3.1
Papua New Guinea,PNG,AP,26,142,6,2.52,31.0,127.0,6.0,1.42,29.0,133.0,6.0,1.76,30.0,130.0,6.0,2.34,31.0,124.0,6.0,2.26,27.0,142.0,6.0,1.62,28.0,137.0,6.0,2.38,28.0,138.0,6.0,2.47,29.0,135.0,6.0,2.55,28.0,5.0,3.01,25.0,5.0,4.22,25.0,5.0,4.16,25.0,5.0,4.2,25.0,5.0,4.2
Paraguay,PRY,AME,24,150,7,2.29,24.0,149.0,7.0,2.33,28.0,136.0,6.0,1.84,28.0,137.0,7.0,1.7,30.0,128.0,7.0,1.4,28.0,137.0,6.0,2.19,28.0,137.0,6.0,2.84,29.0,132.0,6.0,3.05,29.0,135.0,6.0,3.1,30.0,6.0,2.68,27.0,5.0,2.85,24.0,5.0,2.95,24.0,5.0,3.1,25.0,5.0,2.9
Peru,PER,AME,30,130,8,2.19,31.0,127.0,8.0,2.26,33.0,121.0,8.0,1.4,36.0,101.0,8.0,1.43,36.0,105.0,8.0,1.84,38.0,94.0,8.0,1.98,36.0,101.0,8.0,3.07,35.0,105.0,8.0,3.1,37.0,96.0,8.0,3.35,35.0,7.0,2.04,36.0,7.0,3.05,38.0,7.0,2.63,38.0,7.0,2.5,38.0,7.0,2.1
Philippines,PHL,AP,32,120,9,2.14,33.0,114.0,9.0,1.81,34.0,115.0,9.0,1.21,33.0,116.0,9.0,0.93,33.0,117.0,9.0,0.94,34.0,115.0,9.0,0.92,34.0,113.0,9.0,1.59,36.0,99.0,9.0,1.55,34.0,111.0,9.0,1.9,35.0,9.0,1.58,35.0,8.0,1.92,38.0,8.0,1.84,36.0,9.0,2.5,34.0,9.0,2.2
Poland,POL,WE/EU,53,52,10,2.03,53.0,53.0,10.0,1.84,54.0,47.0,10.0,1.36,55.0,45.0,10.0,1.37,56.0,42.0,10.0,1.22,56.0,45.0,10.0,1.39,58.0,41.0,10.0,1.85,60.0,36.0,10.0,1.69,60.0,36.0,10.0,1.36,62.0,10.0,1.77,63.0,9.0,2.59,61.0,9.0,2.7,60.0,10.0,2.3,58.0,10.0,2.0
Portugal,PRT,WE/EU,56,46,8,2.27,57.0,43.0,8.0,1.63,61.0,34.0,8.0,1.75,62.0,33.0,8.0,1.63,62.0,32.0,8.0,1.84,61.0,33.0,8.0,1.73,62.0,30.0,8.0,2.82,64.0,30.0,8.0,2.14,63.0,29.0,8.0,2.56,62.0,8.0,2.58,64.0,7.0,2.5,63.0,7.0,3.36,62.0,7.0,3.0,63.0,7.0,2.5
Qatar,QAT,MENA,58,41,8,3.37,59.0,38.0,7.0,4.33,58.0,40.0,6.0,4.9,58.0,40.0,6.0,5.08,63.0,31.0,7.0,5.01,63.0,30.0,7.0,5.35,62.0,30.0,7.0,8.0,62.0,33.0,7.0,8.08,63.0,29.0,7.0,7.5,61.0,7.0,7.02,71.0,6.0,6.63,69.0,6.0,7.21,68.0,6.0,7.2,68.0,6.0,6.4
Romania,ROU,WE/EU,45,70,9,1.37,46.0,65.0,8.0,2.0,46.0,63.0,10.0,0.91,46.0,63.0,10.0,1.01,45.0,66.0,10.0,1.0,44.0,69.0,10.0,0.89,44.0,70.0,10.0,2.76,47.0,61.0,10.0,3.25,48.0,59.0,10.0,3.12,48.0,10.0,3.0,46.0,9.0,3.11,43.0,9.0,3.6,43.0,9.0,3.0,44.0,8.0,3.7
Russia,RUS,ECA,22,157,7,1.48,22.0,154.0,7.0,1.55,26.0,141.0,7.0,1.47,28.0,137.0,8.0,1.73,29.0,136.0,9.0,1.46,30.0,129.0,9.0,1.33,28.0,137.0,9.0,2.48,28.0,138.0,9.0,2.51,29.0,135.0,9.0,2.5,29.0,9.0,2.73,29.0,8.0,2.52,27.0,8.0,2.61,28.0,9.0,2.3,28.0,9.0,2.2
Rwanda,RWA,SSA,58,41,7,2.78,57.0,43.0,7.0,2.63,53.0,49.0,6.0,2.19,51.0,54.0,6.0,2.79,53.0,52.0,7.0,3.59,54.0,49.0,7.0,3.39,53.0,51.0,7.0,4.75,56.0,48.0,6.0,6.07,55.0,48.0,6.0,6.0,54.0,6.0,5.07,54.0,5.0,6.42,49.0,4.0,3.23,53.0,5.0,5.7,53.0,5.0,6.3
Saint Lucia,LCA,AME,59,39,3,7.92,59.0,38.0,3.0,7.91,55.0,45.0,3.0,3.7,55.0,45.0,3.0,3.7,56.0,42.0,3.0,4.03,56.0,45.0,3.0,4.17,55.0,48.0,3.0,4.15,55.0,50.0,3.0,4.27,55.0,48.0,3.0,4.27,60.0,3.0,6.8,,,,71.0,3.0,0.84,71.0,3.0,0.8,71.0,3.0,0.8
Saint Vincent and the Grenadines,VCT,AME,63,31,3,1.95,63.0,32.0,3.0,1.94,60.0,36.0,3.0,4.26,60.0,35.0,3.0,4.51,59.0,36.0,3.0,3.55,59.0,40.0,3.0,4.02,59.0,39.0,3.0,4.14,58.0,41.0,3.0,3.39,58.0,40.0,3.0,3.39,60.0,3.0,1.66,,,,62.0,3.0,5.59,62.0,3.0,5.6,62.0,3.0,5.6
Sao Tome and Principe,STP,SSA,45,70,4,5.38,45.0,69.0,4.0,5.38,45.0,67.0,4.0,4.82,45.0,65.0,4.0,4.82,45.0,66.0,4.0,4.82,47.0,63.0,4.0,5.06,46.0,64.0,4.0,5.36,46.0,64.0,4.0,5.05,46.0,64.0,4.0,5.21,46.0,3.0,0.93,42.0,3.0,5.0,42.0,3.0,5.05,42.0,3.0,5.0,42.0,3.0,5.0
Saudi Arabia,SAU,MENA,57,45,7,3.84,59.0,38.0,7.0,4.18,52.0,53.0,6.0,5.28,51.0,54.0,6.0,4.64,53.0,52.0,7.0,4.24,53.0,52.0,7.0,5.36,53.0,51.0,7.0,7.56,49.0,58.0,7.0,6.34,49.0,57.0,7.0,6.14,46.0,5.0,7.54,52.0,5.0,7.03,49.0,5.0,6.69,46.0,5.0,6.7,44.0,5.0,6.4
Senegal,SEN,SSA,46,65,9,1.17,45.0,69.0,9.0,1.41,43.0,70.0,9.0,1.35,43.0,72.0,9.0,1.4,43.0,73.0,9.0,1.35,45.0,67.0,9.0,1.33,45.0,66.0,9.0,2.06,45.0,67.0,9.0,2.51,45.0,66.0,9.0,2.52,45.0,8.0,2.63,44.0,8.0,2.61,43.0,8.0,2.28,41.0,9.0,1.5,36.0,9.0,1.8
Serbia,SRB,ECA,33,116,7,2.01,35.0,105.0,8.0,1.37,36.0,104.0,8.0,1.26,36.0,101.0,8.0,1.33,38.0,96.0,8.0,1.42,38.0,94.0,8.0,1.66,39.0,91.0,8.0,2.48,39.0,87.0,8.0,2.89,41.0,77.0,8.0,2.8,42.0,7.0,3.69,40.0,7.0,3.9,41.0,7.0,2.92,42.0,7.0,3.4,39.0,7.0,2.6
Seychelles,SYC,SSA,68,24,4,2.35,72.0,18.0,4.0,3.97,71.0,20.0,3.0,0.37,70.0,23.0,3.0,1.78,70.0,23.0,3.0,1.34,66.0,27.0,4.0,2.97,66.0,27.0,4.0,3.4,66.0,28.0,4.0,3.08,60.0,36.0,4.0,8.32,,,,55.0,3.0,8.5,55.0,3.0,8.62,54.0,4.0,8.2,52.0,4.0,8.0
Sierra Leone,SLE,SSA,34,109,8,2.01,33.0,114.0,9.0,2.17,35.0,108.0,8.0,2.14,34.0,110.0,9.0,1.73,34.0,115.0,9.0,1.84,33.0,117.0,8.0,2.42,33.0,119.0,8.0,3.47,30.0,129.0,9.0,2.17,30.0,130.0,9.0,1.95,30.0,8.0,2.94,29.0,8.0,3.44,31.0,8.0,2.3,30.0,8.0,2.4,31.0,8.0,1.9
Singapore,SGP,AP,84,3,9,1.52,84.0,3.0,9.0,1.48,83.0,5.0,9.0,1.15,83.0,5.0,8.0,1.3,85.0,4.0,9.0,1.16,85.0,3.0,9.0,1.2,85.0,4.0,9.0,2.05,85.0,3.0,9.0,1.98,84.0,6.0,9.0,2.26,84.0,8.0,2.35,85.0,8.0,2.02,84.0,8.0,1.75,86.0,9.0,2.3,87.0,9.0,2.1
Slovakia,SVK,WE/EU,48,61,9,2.82,49.0,59.0,10.0,2.29,54.0,47.0,9.0,1.67,53.0,49.0,10.0,1.72,52.0,56.0,10.0,2.01,49.0,60.0,9.0,2.69,50.0,59.0,9.0,4.57,50.0,57.0,9.0,4.11,50.0,54.0,9.0,3.32,51.0,8.0,3.09,51.0,8.0,3.63,50.0,8.0,4.07,47.0,8.0,4.7,46.0,8.0,4.3
Slovenia,SVN,WE/EU,58,41,10,1.74,60.0,36.0,10.0,1.78,56.0,42.0,10.0,1.04,56.0,41.0,10.0,0.96,57.0,41.0,10.0,1.04,60.0,35.0,10.0,1.13,60.0,35.0,10.0,2.28,60.0,36.0,10.0,2.37,61.0,34.0,10.0,2.78,61.0,10.0,2.44,60.0,9.0,2.93,58.0,9.0,3.03,57.0,9.0,3.6,61.0,8.0,3.9
Solomon Islands,SLB,AP,44,73,3,6.89,43.0,76.0,3.0,7.48,43.0,70.0,3.0,7.43,42.0,77.0,3.0,7.67,43.0,73.0,3.0,7.31,42.0,78.0,3.0,7.8,42.0,77.0,3.0,8.69,44.0,70.0,3.0,7.38,39.0,85.0,3.0,3.71,42.0,3.0,3.34,,,,,,,,,,,,
Somalia,SOM,SSA,9,181,6,2.26,9.0,179.0,6.0,2.3,11.0,180.0,6.0,2.08,12.0,180.0,6.0,1.74,13.0,178.0,6.0,1.89,12.0,179.0,6.0,2.29,9.0,180.0,5.0,1.74,10.0,180.0,6.0,3.08,9.0,180.0,5.0,2.26,10.0,5.0,2.98,8.0,4.0,2.32,8.0,4.0,2.34,8.0,4.0,1.9,8.0,4.0,2.3
South Africa,ZAF,SSA,41,81,9,2.39,41.0,82.0,9.0,2.43,41.0,83.0,8.0,2.08,43.0,72.0,8.0,2.01,44.0,70.0,8.0,2.35,44.0,69.0,8.0,2.17,44.0,70.0,8.0,3.44,43.0,73.0,8.0,3.8,43.0,71.0,8.0,3.98,45.0,7.0,2.55,44.0,7.0,2.61,44.0,7.0,2.41,42.0,9.0,2.8,43.0,9.0,2.5
South Sudan,SSD,SSA,9,181,5,2.56,8.0,180.0,5.0,2.09,13.0,177.0,5.0,1.33,13.0,178.0,5.0,1.9,11.0,180.0,5.0,0.41,12.0,179.0,5.0,1.11,12.0,179.0,5.0,1.26,13.0,178.0,5.0,1.86,12.0,179.0,5.0,1.56,11.0,5.0,3.21,15.0,3.0,1.45,15.0,3.0,2.35,14.0,3.0,1.6,,,
Spain,ESP,WE/EU,55,49,8,2.54,56.0,46.0,8.0,2.43,60.0,36.0,8.0,2.36,60.0,35.0,8.0,2.41,61.0,34.0,8.0,2.28,62.0,32.0,8.0,2.01,62.0,30.0,8.0,3.17,58.0,41.0,8.0,4.33,57.0,42.0,8.0,3.78,58.0,7.0,4.09,58.0,7.0,4.07,60.0,7.0,3.75,59.0,7.0,4.9,65.0,7.0,2.9
Sri Lanka,LKA,AP,35,107,8,1.22,32.0,121.0,8.0,1.63,34.0,115.0,8.0,0.62,36.0,101.0,7.0,0.8,37.0,102.0,7.0,0.99,38.0,94.0,8.0,1.17,38.0,93.0,7.0,2.11,38.0,89.0,7.0,1.85,38.0,91.0,7.0,1.82,36.0,7.0,1.64,37.0,7.0,2.09,38.0,7.0,2.18,37.0,7.0,2.1,40.0,7.0,1.3
Sudan,SDN,SSA,14,175,8,1.94,15.0,170.0,8.0,1.9,20.0,162.0,8.0,3.13,22.0,162.0,8.0,3.47,20.0,164.0,8.0,2.43,16.0,174.0,7.0,2.14,16.0,173.0,7.0,2.74,16.0,172.0,7.0,2.51,16.0,175.0,7.0,2.31,14.0,7.0,2.99,12.0,6.0,3.64,11.0,6.0,3.55,11.0,6.0,3.5,13.0,6.0,2.9
Suriname,SUR,AME,38,96,5,5.28,40.0,88.0,4.0,5.66,40.0,87.0,4.0,5.91,40.0,85.0,4.0,5.38,39.0,87.0,4.0,4.29,38.0,94.0,4.0,1.69,44.0,70.0,4.0,4.76,43.0,73.0,4.0,3.22,41.0,77.0,4.0,4.08,45.0,4.0,7.53,36.0,3.0,3.21,36.0,3.0,3.25,36.0,3.0,3.2,37.0,3.0,3.2
Sweden,SWE,WE/EU,80,6,8,2.53,80.0,8.0,8.0,2.48,82.0,6.0,8.0,2.28,83.0,5.0,8.0,2.2,85.0,4.0,8.0,1.24,85.0,3.0,8.0,1.3,85.0,4.0,8.0,1.98,85.0,3.0,8.0,2.02,84.0,6.0,8.0,2.27,88.0,7.0,1.33,89.0,7.0,1.71,87.0,7.0,3.41,89.0,7.0,2.3,88.0,7.0,1.9
Switzerland,CHE,WE/EU,80,6,7,2.19,81.0,5.0,7.0,1.81,82.0,6.0,7.0,1.74,82.0,7.0,7.0,1.85,84.0,7.0,7.0,1.11,85.0,3.0,7.0,1.1,85.0,4.0,7.0,1.58,85.0,3.0,7.0,1.57,85.0,3.0,7.0,1.71,86.0,6.0,1.57,86.0,6.0,2.55,86.0,6.0,2.61,85.0,6.0,2.5,86.0,6.0,2.6
Syria,SYR,MENA,15,172,5,2.52,12.0,177.0,5.0,1.83,13.0,177.0,5.0,1.58,13.0,178.0,5.0,1.57,13.0,178.0,5.0,1.58,14.0,178.0,5.0,1.58,13.0,178.0,5.0,1.92,13.0,178.0,5.0,1.92,14.0,178.0,5.0,1.93,13.0,5.0,1.97,18.0,4.0,5.66,20.0,4.0,5.31,17.0,4.0,3.8,26.0,5.0,2.7
Taiwan,TWN,AP,68,24,8,1.71,67.0,25.0,7.0,2.05,67.0,28.0,8.0,1.53,68.0,25.0,8.0,1.66,68.0,25.0,8.0,1.85,65.0,28.0,8.0,2.06,65.0,28.0,8.0,3.03,63.0,31.0,8.0,3.06,63.0,29.0,8.0,3.28,61.0,8.0,3.79,62.0,7.0,3.78,61.0,7.0,4.17,61.0,7.0,4.3,61.0,7.0,3.9
Tajikistan,TJK,ECA,19,166,5,1.78,19.0,164.0,5.0,1.76,20.0,162.0,5.0,0.78,24.0,150.0,6.0,3.13,25.0,150.0,6.0,3.97,25.0,149.0,6.0,5.09,25.0,153.0,6.0,6.66,25.0,152.0,6.0,5.73,21.0,161.0,5.0,2.36,25.0,6.0,5.26,26.0,5.0,7.36,23.0,5.0,5.32,22.0,5.0,3.8,22.0,5.0,3.8
Tanzania,TZA,SSA,40,84,9,1.84,41.0,82.0,9.0,2.15,40.0,87.0,9.0,2.2,38.0,94.0,9.0,0.99,39.0,87.0,9.0,1.39,38.0,94.0,9.0,0.8,37.0,96.0,9.0,1.92,36.0,99.0,9.0,1.83,36.0,103.0,9.0,1.55,32.0,9.0,1.84,30.0,8.0,3.49,31.0,8.0,3.2,33.0,8.0,2.7,35.0,8.0,2.1
Thailand,THA,AP,33,116,9,1.0,34.0,107.0,9.0,0.65,35.0,108.0,9.0,0.88,36.0,101.0,9.0,1.09,35.0,110.0,9.0,0.84,36.0,104.0,9.0,1.31,36.0,101.0,9.0,2.45,36.0,99.0,9.0,2.08,37.0,96.0,9.0,2.03,35.0,9.0,2.44,38.0,8.0,2.12,38.0,8.0,1.6,35.0,8.0,1.2,37.0,8.0,1.6
Timor-Leste,TLS,AP,44,73,4,5.13,44.0,73.0,4.0,5.12,43.0,70.0,4.0,5.19,42.0,77.0,4.0,5.03,41.0,82.0,4.0,3.68,40.0,86.0,4.0,2.71,38.0,93.0,4.0,4.5,35.0,105.0,3.0,4.81,38.0,91.0,3.0,7.5,35.0,3.0,5.97,28.0,3.0,5.17,28.0,3.0,5.18,30.0,3.0,3.2,33.0,3.0,5.6
Togo,TGO,SSA,32,120,7,1.47,32.0,121.0,7.0,1.38,31.0,126.0,7.0,1.15,30.0,130.0,7.0,1.7,30.0,128.0,7.0,1.6,29.0,134.0,7.0,1.75,29.0,130.0,7.0,2.4,30.0,129.0,6.0,2.35,32.0,117.0,6.0,3.29,32.0,5.0,4.21,32.0,5.0,3.04,29.0,5.0,3.69,29.0,5.0,3.7,30.0,5.0,3.4
Trinidad and Tobago,TTO,AME,41,81,6,4.44,41.0,82.0,6.0,4.44,42.0,76.0,6.0,4.87,42.0,77.0,7.0,3.86,41.0,82.0,7.0,3.66,40.0,86.0,7.0,3.73,40.0,85.0,7.0,5.38,41.0,78.0,6.0,5.8,41.0,77.0,6.0,5.47,35.0,5.0,2.48,39.0,4.0,4.64,38.0,4.0,4.82,38.0,4.0,5.1,39.0,4.0,4.5
Tunisia,TUN,MENA,39,91,8,1.32,39.0,92.0,8.0,1.24,40.0,87.0,7.0,1.7,40.0,85.0,7.0,1.12,44.0,70.0,7.0,1.9,44.0,69.0,7.0,2.83,43.0,74.0,7.0,3.94,43.0,73.0,7.0,3.86,42.0,74.0,7.0,3.73,41.0,7.0,3.9,38.0,6.0,2.17,40.0,6.0,1.72,41.0,7.0,1.9,41.0,7.0,2.8
Turkey,TUR,ECA,31,124,8,2.04,34.0,107.0,8.0,1.74,34.0,115.0,9.0,1.57,36.0,101.0,9.0,1.51,38.0,96.0,9.0,2.1,40.0,86.0,9.0,2.06,39.0,91.0,9.0,3.34,41.0,78.0,9.0,3.03,40.0,81.0,8.0,1.8,41.0,9.0,1.8,42.0,8.0,2.02,45.0,8.0,2.69,50.0,9.0,2.4,49.0,9.0,2.1
Turkmenistan,TKM,ECA,17,167,5,0.81,17.0,165.0,5.0,0.89,18.0,170.0,5.0,1.45,19.0,167.0,5.0,1.07,19.0,169.0,5.0,1.07,19.0,165.0,5.0,0.91,19.0,165.0,5.0,1.42,20.0,161.0,5.0,1.22,19.0,167.0,5.0,1.78,22.0,4.0,1.32,18.0,4.0,2.38,17.0,3.0,2.85,17.0,3.0,2.9,17.0,3.0,2.9
Uganda,UGA,SSA,25,148,8,1.22,26.0,140.0,8.0,1.19,26.0,141.0,8.0,1.3,26.0,142.0,8.0,1.49,27.0,144.0,9.0,1.22,27.0,142.0,9.0,1.15,28.0,137.0,9.0,2.04,26.0,149.0,9.0,2.13,26.0,151.0,9.0,2.11,25.0,9.0,2.24,25.0,8.0,3.19,26.0,8.0,3.03,26.0,8.0,3.3,29.0,8.0,2.2
Ukraine,UKR,ECA,36,104,8,2.4,35.0,105.0,8.0,2.09,36.0,104.0,8.0,1.93,33.0,116.0,8.0,1.44,32.0,122.0,9.0,1.29,33.0,117.0,9.0,1.31,30.0,126.0,9.0,2.38,32.0,120.0,9.0,2.27,30.0,130.0,9.0,2.27,29.0,9.0,1.97,27.0,8.0,1.93,26.0,8.0,1.64,25.0,8.0,1.7,26.0,8.0,1.8
United Arab Emirates,ARE,MENA,69,21,8,2.25,68.0,23.0,8.0,2.16,68.0,26.0,7.0,2.57,67.0,27.0,7.0,3.1,69.0,24.0,8.0,2.9,71.0,21.0,8.0,3.23,71.0,21.0,8.0,5.13,70.0,23.0,8.0,4.56,71.0,21.0,7.0,6.26,66.0,7.0,5.7,70.0,7.0,5.07,70.0,7.0,5.14,69.0,7.0,4.7,68.0,7.0,4.3
United Kingdom,GBR,WE/EU,70,20,8,1.58,71.0,20.0,8.0,2.05,71.0,20.0,8.0,1.68,73.0,18.0,8.0,1.85,78.0,11.0,8.0,1.43,77.0,11.0,8.0,2.2,77.0,12.0,8.0,3.34,80.0,11.0,8.0,2.03,82.0,8.0,8.0,1.7,81.0,7.0,2.12,81.0,7.0,2.4,78.0,7.0,2.09,76.0,8.0,1.3,74.0,8.0,1.3
United States of America,USA,AME,64,29,9,2.64,65.0,28.0,9.0,2.18,69.0,24.0,9.0,2.14,69.0,24.0,9.0,2.11,67.0,27.0,9.0,2.21,67.0,25.0,9.0,2.49,69.0,23.0,9.0,4.12,71.0,22.0,9.0,3.25,75.0,16.0,9.0,3.24,74.0,9.0,3.15,76.0,8.0,3.47,74.0,8.0,3.74,73.0,9.0,4.0,73.0,9.0,4.1
Uruguay,URY,AME,73,17,7,1.32,76.0,13.0,7.0,1.46,73.0,16.0,7.0,0.67,74.0,14.0,7.0,0.66,73.0,18.0,7.0,0.68,71.0,21.0,7.0,1.72,71.0,21.0,7.0,2.47,70.0,23.0,7.0,2.73,70.0,23.0,7.0,2.67,71.0,6.0,2.68,74.0,6.0,1.68,73.0,6.0,1.41,73.0,6.0,1.4,72.0,6.0,1.5
Uzbekistan,UZB,ECA,31,124,8,2.73,32.0,121.0,9.0,2.41,33.0,121.0,9.0,2.12,31.0,126.0,8.0,1.71,28.0,140.0,7.0,1.51,26.0,146.0,7.0,1.52,25.0,153.0,7.0,2.01,23.0,158.0,7.0,1.93,22.0,157.0,7.0,2.11,21.0,7.0,2.35,19.0,6.0,2.71,18.0,6.0,2.54,17.0,6.0,2.0,17.0,6.0,2.0
Vanuatu,VUT,AP,47,63,3,4.27,50.0,57.0,3.0,1.82,48.0,61.0,3.0,3.14,48.0,60.0,3.0,2.72,45.0,66.0,3.0,4.58,43.0,75.0,3.0,3.59,46.0,64.0,3.0,6.38,46.0,64.0,3.0,5.97,43.0,71.0,3.0,3.93,,,,,,,,,,,,,,,
Venezuela,VEN,AME,10,180,8,1.01,10.0,178.0,8.0,1.27,13.0,177.0,8.0,1.23,14.0,177.0,8.0,1.3,14.0,177.0,8.0,0.99,15.0,176.0,8.0,0.91,16.0,173.0,8.0,2.05,18.0,168.0,8.0,2.13,18.0,169.0,8.0,1.6,17.0,7.0,1.41,17.0,7.0,2.64,19.0,7.0,1.69,20.0,7.0,2.3,19.0,7.0,2.1
Vietnam,VNM,AP,41,81,8,1.72,40.0,88.0,8.0,1.58,41.0,83.0,8.0,1.4,42.0,77.0,8.0,1.5,39.0,87.0,8.0,0.82,36.0,104.0,8.0,1.81,37.0,96.0,8.0,2.84,33.0,117.0,8.0,2.84,35.0,107.0,8.0,2.78,33.0,8.0,2.46,31.0,8.0,2.56,31.0,8.0,2.55,31.0,8.0,2.6,31.0,8.0,2.5
Yemen,YEM,MENA,13,177,7,1.83,13.0,173.0,7.0,1.72,16.0,176.0,7.0,1.75,16.0,176.0,7.0,1.98,16.0,174.0,7.0,2.29,15.0,176.0,7.0,1.33,15.0,177.0,7.0,1.89,14.0,176.0,7.0,1.45,16.0,175.0,7.0,1.85,14.0,7.0,3.05,18.0,6.0,2.66,19.0,6.0,2.37,18.0,6.0,2.6,23.0,6.0,2.2
Zambia,ZMB,SSA,37,99,9,1.36,39.0,92.0,9.0,1.76,37.0,98.0,8.0,2.06,33.0,116.0,9.0,1.5,33.0,117.0,9.0,1.63,33.0,117.0,9.0,0.96,34.0,113.0,9.0,1.97,35.0,105.0,9.0,1.93,37.0,96.0,9.0,2.46,38.0,9.0,2.91,38.0,8.0,2.55,38.0,8.0,2.27,38.0,8.0,2.1,37.0,8.0,3.1
Zimbabwe,ZWE,SSA,22,157,9,0.74,21.0,158.0,9.0,0.91,24.0,149.0,9.0,1.3,23.0,157.0,8.0,1.53,23.0,157.0,8.0,1.52,24.0,157.0,9.0,1.35,24.0,158.0,9.0,2.31,22.0,160.0,9.0,2.29,22.0,157.0,9.0,2.22,22.0,9.0,2.59,21.0,8.0,4.54,21.0,8.0,4.18,21.0,8.0,4.3,20.0,8.0,4.3
